prefecture_slug,prefecture_name,count,reason
tottori,鳥取県,14,<50
yamanashi,山梨県,16,<50
saga,佐賀県,18,<50
toyama,富山県,21,<50
yamaguchi,山口県,21,<50
tokushima,徳島県,22,<50
niigata,新潟県,24,<50
shimane,島根県,24,<50
kumamoto,熊本県,25,<50
yamagata,山形県,28,<50
gifu,岐阜県,28,<50
wakayama,和歌山県,29,<50
tochigi,栃木県,30,<50
shiga,滋賀県,31,<50
kochi,高知県,32,<50
oita,大分県,32,<50
iwate,岩手県,33,<50
nagasaki,長崎県,35,<50
fukui,福井県,38,<50
nagano,長野県,38,<50
mie,三重県,39,<50
nara,奈良県,40,<50
kagawa,香川県,40,<50
ehime,愛媛県,40,<50
fukushima,福島県,43,<50
ibaraki,茨城県,43,<50
ishikawa,石川県,44,<50
miyazaki,宮崎県,44,<50
aomori,青森県,47,<50
