externalId,lat,lng,prefectureSlug,address,sourceUrl
osm:n743264367,32.0618854,130.2275162,kagoshima,,https://www.openstreetmap.org/node/743264367
osm:n886212599,36.7223849,137.2524562,toyama,,https://www.openstreetmap.org/node/886212599
osm:n1998400519,34.3386039,134.0770658,kagawa,,https://www.openstreetmap.org/node/1998400519
osm:n1999980525,37.5180827,139.9363956,fukushima,,https://www.openstreetmap.org/node/1999980525
osm:n2004060696,34.3433936,134.1262005,kagawa,,https://www.openstreetmap.org/node/2004060696
osm:n2007953208,34.3210128,134.1842549,kagawa,,https://www.openstreetmap.org/node/2007953208
osm:n2333761473,34.2484437,134.3408056,tokushima,,https://www.openstreetmap.org/node/2333761473
osm:n2338970664,34.2629808,134.1365429,kagawa,,https://www.openstreetmap.org/node/2338970664
osm:n2341547067,35.8360811,140.0079193,chiba,,https://www.openstreetmap.org/node/2341547067
osm:n2341547092,35.8515256,140.0179507,chiba,,https://www.openstreetmap.org/node/2341547092
osm:n2346770400,34.3271876,134.0701193,kagawa,,https://www.openstreetmap.org/node/2346770400
osm:n3376249125,32.0635029,130.2285073,kagoshima,,https://www.openstreetmap.org/node/3376249125
osm:n3379565431,32.015389,130.1926904,kagoshima,,https://www.openstreetmap.org/node/3379565431
osm:n3513979899,38.9315292,139.8442974,yamagata,,https://www.openstreetmap.org/node/3513979899
osm:n3591660225,35.0958125,139.0745351,shizuoka,,https://www.openstreetmap.org/node/3591660225
osm:n3812274005,35.858679,139.5497339,saitama,,https://www.openstreetmap.org/node/3812274005
osm:n3838753881,35.249095,139.6853859,kanagawa,,https://www.openstreetmap.org/node/3838753881
osm:n4437141696,35.1154489,137.0491994,aichi,,https://www.openstreetmap.org/node/4437141696
osm:n4839862754,35.5282176,139.6996607,kanagawa,,https://www.openstreetmap.org/node/4839862754
osm:n5153889024,34.968003,136.6192341,mie,,https://www.openstreetmap.org/node/5153889024
osm:n5581631930,35.099095,136.2267209,shiga,,https://www.openstreetmap.org/node/5581631930
osm:n5869899997,35.6671949,139.7566442,tokyo,,https://www.openstreetmap.org/node/5869899997
osm:n5939109081,31.3926358,130.3792797,kagoshima,,https://www.openstreetmap.org/node/5939109081
osm:n5939109634,31.5257072,130.4981897,kagoshima,,https://www.openstreetmap.org/node/5939109634
osm:n5976922429,34.6200176,135.4340237,osaka,,https://www.openstreetmap.org/node/5976922429
osm:n6002607255,31.2745904,130.3119866,kagoshima,,https://www.openstreetmap.org/node/6002607255
osm:n6178642340,36.7114758,137.1051172,toyama,,https://www.openstreetmap.org/node/6178642340
osm:n6215874050,40.5965779,140.5080074,aomori,,https://www.openstreetmap.org/node/6215874050
osm:n6253346793,36.2501025,138.9171223,gunma,,https://www.openstreetmap.org/node/6253346793
osm:n6419666083,36.1529172,137.2444588,ishikawa,,https://www.openstreetmap.org/node/6419666083
osm:n6419666403,36.1442039,137.2515179,ishikawa,,https://www.openstreetmap.org/node/6419666403
osm:n6449162468,35.5650653,139.6557696,kanagawa,,https://www.openstreetmap.org/node/6449162468
osm:n6483701350,36.5921592,140.6571844,ibaraki,,https://www.openstreetmap.org/node/6483701350
osm:n6569059425,34.5296023,133.7369973,okayama,,https://www.openstreetmap.org/node/6569059425
osm:n6813915698,35.7585224,139.8440127,tokyo,,https://www.openstreetmap.org/node/6813915698
osm:n6916331022,37.9749718,140.7816647,miyagi,,https://www.openstreetmap.org/node/6916331022
osm:n7682267774,36.0204844,139.5791328,saitama,,https://www.openstreetmap.org/node/7682267774
osm:n7750116526,40.6536433,140.506153,aomori,,https://www.openstreetmap.org/node/7750116526
osm:n8200397639,35.5603057,139.6723979,kanagawa,,https://www.openstreetmap.org/node/8200397639
osm:n8848285218,34.6380147,138.1374124,shizuoka,,https://www.openstreetmap.org/node/8848285218
osm:n8946778936,34.4903404,133.4089889,okayama,,https://www.openstreetmap.org/node/8946778936
osm:n9025821954,35.7035829,139.6006589,tokyo,,https://www.openstreetmap.org/node/9025821954
osm:n9157577350,35.8260993,139.9177766,chiba,,https://www.openstreetmap.org/node/9157577350
osm:n9163726948,35.8253019,139.920697,chiba,,https://www.openstreetmap.org/node/9163726948
osm:n9401718603,35.6830912,140.3119795,chiba,,https://www.openstreetmap.org/node/9401718603
osm:n9407928076,33.2453101,130.2835336,saga,,https://www.openstreetmap.org/node/9407928076
osm:n9928604828,34.6631132,135.1539293,hyogo,,https://www.openstreetmap.org/node/9928604828
osm:n10030855738,32.5851777,131.6541873,miyazaki,,https://www.openstreetmap.org/node/10030855738
osm:n10203815293,35.4247343,139.6657546,kanagawa,,https://www.openstreetmap.org/node/10203815293
osm:n10576705447,34.7487228,134.8605168,hyogo,,https://www.openstreetmap.org/node/10576705447
osm:n10869501221,37.0348976,136.9520995,ishikawa,,https://www.openstreetmap.org/node/10869501221
osm:n10941571114,43.0057297,141.7065509,hokkaido,,https://www.openstreetmap.org/node/10941571114
osm:n11360103385,35.2577048,136.9977112,aichi,,https://www.openstreetmap.org/node/11360103385
osm:n11684817503,33.4297468,134.0044928,kochi,,https://www.openstreetmap.org/node/11684817503
osm:n12465014315,34.3392272,134.0828898,kagawa,,https://www.openstreetmap.org/node/12465014315
osm:n12531389190,34.726088,134.1090693,okayama,,https://www.openstreetmap.org/node/12531389190
osm:n12543223517,34.5231022,133.7698952,okayama,,https://www.openstreetmap.org/node/12543223517
osm:n12548609523,37.0433044,136.9652231,ishikawa,,https://www.openstreetmap.org/node/12548609523
osm:n12582277692,34.7198524,134.0453571,okayama,,https://www.openstreetmap.org/node/12582277692
osm:n12587121225,34.5135276,133.9549809,okayama,,https://www.openstreetmap.org/node/12587121225
osm:n12684981856,35.7725793,139.5211836,saitama,,https://www.openstreetmap.org/node/12684981856
osm:n13026031459,33.6039854,130.4242225,fukuoka,,https://www.openstreetmap.org/node/13026031459
osm:n13093321337,34.755595,134.4039814,hyogo,,https://www.openstreetmap.org/node/13093321337
osm:n13141134884,26.2297719,127.7073841,okinawa,,https://www.openstreetmap.org/node/13141134884
osm:n13428087710,34.5602249,133.682311,okayama,,https://www.openstreetmap.org/node/13428087710
osm:w27372460,35.8489726,139.3179227,saitama,,https://www.openstreetmap.org/way/27372460
osm:w87572190,34.4558978,135.4501618,osaka,,https://www.openstreetmap.org/way/87572190
osm:w104452434,36.7847701,140.7367565,ibaraki,,https://www.openstreetmap.org/way/104452434
osm:w104947046,37.1446336,140.9957872,fukushima,,https://www.openstreetmap.org/way/104947046
osm:w105678994,37.0586701,140.9008715,fukushima,,https://www.openstreetmap.org/way/105678994
osm:w106232655,36.659844,140.707226,ibaraki,,https://www.openstreetmap.org/way/106232655
osm:w106647228,37.0607436,140.9227335,fukushima,,https://www.openstreetmap.org/way/106647228
osm:w121541326,31.5479251,130.5447556,kagoshima,,https://www.openstreetmap.org/way/121541326
osm:w151882670,34.6664525,135.4549071,osaka,,https://www.openstreetmap.org/way/151882670
osm:w155917514,35.6608155,139.4146285,tokyo,,https://www.openstreetmap.org/way/155917514
osm:w161216019,36.1470057,139.5384961,saitama,,https://www.openstreetmap.org/way/161216019
osm:w161224531,36.1806349,139.5124022,saitama,,https://www.openstreetmap.org/way/161224531
osm:w161840278,36.7549712,138.3588027,nagano,,https://www.openstreetmap.org/way/161840278
osm:w161840368,36.7483568,138.3518572,nagano,,https://www.openstreetmap.org/way/161840368
osm:w177314248,39.70152,140.1104538,akita,,https://www.openstreetmap.org/way/177314248
osm:w181684017,34.8174198,136.5720449,mie,,https://www.openstreetmap.org/way/181684017
osm:w182849603,34.4756626,132.4891123,hiroshima,,https://www.openstreetmap.org/way/182849603
osm:w188284475,36.5804401,136.6515261,ishikawa,,https://www.openstreetmap.org/way/188284475
osm:w191537769,36.0867794,136.2270946,fukui,,https://www.openstreetmap.org/way/191537769
osm:w194733765,36.0845376,136.2086329,fukui,,https://www.openstreetmap.org/way/194733765
osm:w201289368,34.947456,135.7147117,kyoto,,https://www.openstreetmap.org/way/201289368
osm:w203942344,43.1846996,141.3149239,hokkaido,,https://www.openstreetmap.org/way/203942344
osm:w208245568,36.5989113,136.6800103,ishikawa,,https://www.openstreetmap.org/way/208245568
osm:w208246882,36.6066983,136.6692921,ishikawa,,https://www.openstreetmap.org/way/208246882
osm:w208362467,36.615679,136.6830817,ishikawa,,https://www.openstreetmap.org/way/208362467
