prefecture_slug,prefecture_name,count
tokyo,東京都,281
osaka,大阪府,232
kanagawa,神奈川県,181
aichi,愛知県,164
hokkaido,北海道,162
saitama,埼玉県,152
chiba,千葉県,139
kagoshima,鹿児島県,110
miyagi,宮城県,106
hyogo,兵庫県,104
fukuoka,福岡県,89
okayama,岡山県,85
shizuoka,静岡県,80
gunma,群馬県,65
akita,秋田県,61
hiroshima,広島県,53
okinawa,沖縄県,53
kyoto,京都府,50
aomori,青森県,47
ishikawa,石川県,44
miyazaki,宮崎県,44
fukushima,福島県,43
ibaraki,茨城県,43
nara,奈良県,40
kagawa,香川県,40
ehime,愛媛県,40
mie,三重県,39
fukui,福井県,38
nagano,長野県,38
nagasaki,長崎県,35
iwate,岩手県,33
oita,大分県,32
kochi,高知県,32
shiga,滋賀県,31
tochigi,栃木県,30
wakayama,和歌山県,29
yamagata,山形県,28
gifu,岐阜県,28
kumamoto,熊本県,25
niigata,新潟県,24
shimane,島根県,24
tokushima,徳島県,22
toyama,富山県,21
yamaguchi,山口県,21
saga,佐賀県,18
yamanashi,山梨県,16
tottori,鳥取県,14
__unmapped__,(不明),4
