external_id,name,prefecture_slug,prefecture_name,city,address,lat,lng
sample-hokkaido-001,北海道サンプルホール駅前店,hokkaido,北海道,中央区,北海道中央区1-1-1,,
sample-hokkaido-002,北海道サンプルホール南口店,hokkaido,北海道,南区,北海道南区1-1-1,,
sample-hokkaido-003,北海道グランドパーラー本店,hokkaido,北海道,北区,北海道北区1-1-1,,
sample-aomori-001,青森県サンプルホール駅前店,aomori,青森県,中央区,青森県中央区1-1-1,,
sample-aomori-002,青森県サンプルホール南口店,aomori,青森県,南区,青森県南区1-1-1,,
sample-aomori-003,青森県グランドパーラー本店,aomori,青森県,北区,青森県北区1-1-1,,
sample-iwate-001,岩手県サンプルホール駅前店,iwate,岩手県,中央区,岩手県中央区1-1-1,,
sample-iwate-002,岩手県サンプルホール南口店,iwate,岩手県,南区,岩手県南区1-1-1,,
sample-iwate-003,岩手県グランドパーラー本店,iwate,岩手県,北区,岩手県北区1-1-1,,
sample-miyagi-001,宮城県サンプルホール駅前店,miyagi,宮城県,中央区,宮城県中央区1-1-1,,
sample-miyagi-002,宮城県サンプルホール南口店,miyagi,宮城県,南区,宮城県南区1-1-1,,
sample-miyagi-003,宮城県グランドパーラー本店,miyagi,宮城県,北区,宮城県北区1-1-1,,
sample-akita-001,秋田県サンプルホール駅前店,akita,秋田県,中央区,秋田県中央区1-1-1,,
sample-akita-002,秋田県サンプルホール南口店,akita,秋田県,南区,秋田県南区1-1-1,,
sample-akita-003,秋田県グランドパーラー本店,akita,秋田県,北区,秋田県北区1-1-1,,
sample-yamagata-001,山形県サンプルホール駅前店,yamagata,山形県,中央区,山形県中央区1-1-1,,
sample-yamagata-002,山形県サンプルホール南口店,yamagata,山形県,南区,山形県南区1-1-1,,
sample-yamagata-003,山形県グランドパーラー本店,yamagata,山形県,北区,山形県北区1-1-1,,
sample-fukushima-001,福島県サンプルホール駅前店,fukushima,福島県,中央区,福島県中央区1-1-1,,
sample-fukushima-002,福島県サンプルホール南口店,fukushima,福島県,南区,福島県南区1-1-1,,
sample-fukushima-003,福島県グランドパーラー本店,fukushima,福島県,北区,福島県北区1-1-1,,
sample-ibaraki-001,茨城県サンプルホール駅前店,ibaraki,茨城県,中央区,茨城県中央区1-1-1,,
sample-ibaraki-002,茨城県サンプルホール南口店,ibaraki,茨城県,南区,茨城県南区1-1-1,,
sample-ibaraki-003,茨城県グランドパーラー本店,ibaraki,茨城県,北区,茨城県北区1-1-1,,
sample-tochigi-001,栃木県サンプルホール駅前店,tochigi,栃木県,中央区,栃木県中央区1-1-1,,
sample-tochigi-002,栃木県サンプルホール南口店,tochigi,栃木県,南区,栃木県南区1-1-1,,
sample-tochigi-003,栃木県グランドパーラー本店,tochigi,栃木県,北区,栃木県北区1-1-1,,
sample-gunma-001,群馬県サンプルホール駅前店,gunma,群馬県,中央区,群馬県中央区1-1-1,,
sample-gunma-002,群馬県サンプルホール南口店,gunma,群馬県,南区,群馬県南区1-1-1,,
sample-gunma-003,群馬県グランドパーラー本店,gunma,群馬県,北区,群馬県北区1-1-1,,
sample-saitama-001,埼玉県サンプルホール駅前店,saitama,埼玉県,中央区,埼玉県中央区1-1-1,,
sample-saitama-002,埼玉県サンプルホール南口店,saitama,埼玉県,南区,埼玉県南区1-1-1,,
sample-saitama-003,埼玉県グランドパーラー本店,saitama,埼玉県,北区,埼玉県北区1-1-1,,
sample-chiba-001,千葉県サンプルホール駅前店,chiba,千葉県,中央区,千葉県中央区1-1-1,,
sample-chiba-002,千葉県サンプルホール南口店,chiba,千葉県,南区,千葉県南区1-1-1,,
sample-chiba-003,千葉県グランドパーラー本店,chiba,千葉県,北区,千葉県北区1-1-1,,
sample-tokyo-001,東京都サンプルホール駅前店,tokyo,東京都,中央区,東京都中央区1-1-1,,
sample-tokyo-002,東京都サンプルホール南口店,tokyo,東京都,南区,東京都南区1-1-1,,
sample-tokyo-003,東京都グランドパーラー本店,tokyo,東京都,北区,東京都北区1-1-1,,
sample-kanagawa-001,神奈川県サンプルホール駅前店,kanagawa,神奈川県,中央区,神奈川県中央区1-1-1,,
sample-kanagawa-002,神奈川県サンプルホール南口店,kanagawa,神奈川県,南区,神奈川県南区1-1-1,,
sample-kanagawa-003,神奈川県グランドパーラー本店,kanagawa,神奈川県,北区,神奈川県北区1-1-1,,
